scheme_code,scheme_name,date,nav,plan_type
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-07,12.32,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-08,12.27,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-09,12.39,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-10,12.42,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-11,12.2,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-14,11.79,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-15,12.05,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-16,12.08,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-17,12.05,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-18,12.02,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-21,11.9,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-22,11.78,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-23,11.81,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-24,11.29,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-25,11.63,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-02-28,11.71,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-02,11.66,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-03,11.62,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-04,11.42,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-07,11.1,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-08,11.23,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-09,11.4,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-10,11.55,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-11,11.6,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-14,11.7,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-15,11.61,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-16,11.82,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-17,11.97,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-21,11.92,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-22,11.98,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-23,11.97,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-24,11.99,Regular
,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,2022-03-25,11.95,Regular
